start_time,end_time,pair,side,long_asset,short_asset,pnl_long,pnl_short,total_pnl
2022-12-31 23:00:00,2023-01-05 23:05:00,UNIUSDT-XLMUSDT,LONG_S1_SHORT_S2,XLMUSDT,UNIUSDT,2.3357,-4.2281,-1.8924
2023-01-05 23:10:00,2023-01-07 23:00:00,UNIUSDT-XLMUSDT,LONG_S1_SHORT_S2,XLMUSDT,UNIUSDT,3.6803,-0.5409,3.1394
2023-01-07 23:00:00,2023-01-08 10:45:00,TRXUSDT-ATOMUSDT,LONG_S1_SHORT_S2,ATOMUSDT,TRXUSDT,-0.9052,-1.1047,-2.0099
2023-01-08 15:40:00,2023-01-13 15:45:00,TRXUSDT-ATOMUSDT,SHORT_S1_LONG_S2,TRXUSDT,ATOMUSDT,9.0082,-17.7849,-8.7767
2023-01-14 23:15:00,2023-01-15 09:20:00,FILUSDT-DOTUSDT,LONG_S1_SHORT_S2,DOTUSDT,FILUSDT,-1.8426,5.1223,3.2797
2023-01-15 09:45:00,2023-01-15 11:20:00,FILUSDT-DOTUSDT,LONG_S1_SHORT_S2,DOTUSDT,FILUSDT,0.8465,-0.2188,0.6277
2023-01-15 11:25:00,2023-01-17 15:20:00,FILUSDT-DOTUSDT,LONG_S1_SHORT_S2,DOTUSDT,FILUSDT,2.8763,-2.9208,-0.0446
2023-01-17 15:50:00,2023-01-18 14:05:00,FILUSDT-DOTUSDT,LONG_S1_SHORT_S2,DOTUSDT,FILUSDT,2.8009,0.9719,3.7728
2023-01-18 15:50:00,2023-01-19 18:45:00,FILUSDT-DOTUSDT,LONG_S1_SHORT_S2,DOTUSDT,FILUSDT,0.5951,1.7109,2.3061
2023-01-20 20:05:00,2023-01-20 20:10:00,FILUSDT-DOTUSDT,SHORT_S1_LONG_S2,FILUSDT,DOTUSDT,-0.2371,0.2466,0.0095
2023-01-20 20:35:00,2023-01-20 22:40:00,FILUSDT-DOTUSDT,SHORT_S1_LONG_S2,FILUSDT,DOTUSDT,0.3194,-0.4865,-0.1671
2023-01-20 23:10:00,2023-01-21 02:15:00,FILUSDT-DOTUSDT,SHORT_S1_LONG_S2,FILUSDT,DOTUSDT,4.5713,0.1597,4.731
2023-01-21 07:05:00,2023-01-21 07:15:00,FILUSDT-DOTUSDT,LONG_S1_SHORT_S2,DOTUSDT,FILUSDT,-0.048,0.6189,0.5708
2023-01-21 07:45:00,2023-01-21 08:25:00,FILUSDT-DOTUSDT,LONG_S1_SHORT_S2,DOTUSDT,FILUSDT,-0.6376,1.032,0.3944
2023-01-21 21:40:00,2023-01-21 21:50:00,FILUSDT-DOTUSDT,LONG_S1_SHORT_S2,DOTUSDT,FILUSDT,0.3449,0.2121,0.557
2023-01-21 22:55:00,2023-01-21 23:00:00,FILUSDT-DOTUSDT,LONG_S1_SHORT_S2,DOTUSDT,FILUSDT,1.1731,-1.7478,-0.5747
2023-01-21 23:30:00,2023-01-22 15:00:00,UNIUSDT-LINKUSDT,LONG_S1_SHORT_S2,LINKUSDT,UNIUSDT,3.6474,-3.5863,0.0611
2023-01-22 15:05:00,2023-01-22 17:00:00,UNIUSDT-LINKUSDT,SHORT_S1_LONG_S2,UNIUSDT,LINKUSDT,0.3731,0.5127,0.8858
2023-01-22 17:30:00,2023-01-23 00:40:00,UNIUSDT-LINKUSDT,LONG_S1_SHORT_S2,LINKUSDT,UNIUSDT,-0.2785,1.19,0.9115
2023-01-23 01:15:00,2023-01-23 01:50:00,UNIUSDT-LINKUSDT,SHORT_S1_LONG_S2,UNIUSDT,LINKUSDT,0.0288,0.501,0.5299
2023-01-23 02:05:00,2023-01-23 06:05:00,UNIUSDT-LINKUSDT,SHORT_S1_LONG_S2,UNIUSDT,LINKUSDT,-0.7691,1.3687,0.5996
2023-01-23 10:30:00,2023-01-23 11:00:00,UNIUSDT-LINKUSDT,SHORT_S1_LONG_S2,UNIUSDT,LINKUSDT,0.3055,0.2384,0.5439
2023-01-23 11:45:00,2023-01-23 12:05:00,UNIUSDT-LINKUSDT,SHORT_S1_LONG_S2,UNIUSDT,LINKUSDT,-0.5964,0.8831,0.2867
2023-01-23 12:20:00,2023-01-23 13:35:00,UNIUSDT-LINKUSDT,SHORT_S1_LONG_S2,UNIUSDT,LINKUSDT,0.3347,0.868,1.2027
2023-01-24 01:35:00,2023-01-24 19:50:00,UNIUSDT-LINKUSDT,SHORT_S1_LONG_S2,UNIUSDT,LINKUSDT,-0.6541,1.2292,0.5751
2023-01-24 22:00:00,2023-01-28 23:00:00,UNIUSDT-LINKUSDT,SHORT_S1_LONG_S2,UNIUSDT,LINKUSDT,0.3362,-4.4055,-4.0693
2023-01-29 00:05:00,2023-01-31 23:00:00,DASHUSDT-ZECUSDT,LONG_S1_SHORT_S2,ZECUSDT,DASHUSDT,0.2214,-17.6331,-17.4117
